---
driver=<class 'textual.drivers.linux_driver.LinuxDriver'>
Mount() >>> HoverApp(title='Textual Application')
Mount() >>> DockView(name='DockView#1')
Enter() >>> Hover(name='Hover#2')
Leave() >>> Hover(name='Hover#2')
Enter() >>> Hover(name='Hover#3')
Leave() >>> Hover(name='Hover#3')
Enter() >>> Hover(name='Hover#2')
Leave() >>> Hover(name='Hover#2')
Enter() >>> Hover(name='Hover#3')
Leave() >>> Hover(name='Hover#3')
Enter() >>> Hover(name='Hover#4')
Leave() >>> Hover(name='Hover#4')
Enter() >>> Hover(name='Hover#5')
Leave() >>> Hover(name='Hover#5')
Enter() >>> Hover(name='Hover#6')
Leave() >>> Hover(name='Hover#6')
Enter() >>> Hover(name='Hover#5')
Leave() >>> Hover(name='Hover#5')
Enter() >>> Hover(name='Hover#4')
Leave() >>> Hover(name='Hover#4')
Enter() >>> Hover(name='Hover#3')
set_focus Hover(name='Hover#3')
MouseDown(x=16, y=0, screen_y=5, button=1) >>> Hover(name='Hover#3')
MouseUp(x=16, y=0, screen_y=5, button=1) >>> Hover(name='Hover#3')
Click(x=16, y=0, screen_y=5, button=1) >>> Hover(name='Hover#3')
Leave() >>> Hover(name='Hover#3')
Enter() >>> Hover(name='Hover#4')
Leave() >>> Hover(name='Hover#4')
Enter() >>> Hover(name='Hover#5')
set_focus Hover(name='Hover#5')
MouseDown(x=17, y=0, screen_y=10, button=1) >>> Hover(name='Hover#5')
MouseUp(x=17, y=0, screen_y=10, button=1) >>> Hover(name='Hover#5')
Click(x=17, y=0, screen_y=10, button=1) >>> Hover(name='Hover#5')
Leave() >>> Hover(name='Hover#5')
Enter() >>> Hover(name='Hover#6')
Leave() >>> Hover(name='Hover#6')
Enter() >>> Hover(name='Hover#7')
Leave() >>> Hover(name='Hover#7')
Enter() >>> Hover(name='Hover#8')
Leave() >>> Hover(name='Hover#8')
Enter() >>> Hover(name='Hover#7')
Leave() >>> Hover(name='Hover#7')
Enter() >>> Hover(name='Hover#6')
Leave() >>> Hover(name='Hover#6')
Enter() >>> Hover(name='Hover#5')
Leave() >>> Hover(name='Hover#5')
Enter() >>> Hover(name='Hover#4')
Leave() >>> Hover(name='Hover#4')
Enter() >>> Hover(name='Hover#5')
Leave() >>> Hover(name='Hover#5')
Enter() >>> Hover(name='Hover#6')
Leave() >>> Hover(name='Hover#6')
Enter() >>> Hover(name='Hover#7')
Leave() >>> Hover(name='Hover#7')
Enter() >>> Hover(name='Hover#8')
Leave() >>> Hover(name='Hover#8')
Enter() >>> Hover(name='Hover#9')
Leave() >>> Hover(name='Hover#9')
Enter() >>> Hover(name='Hover#8')
Leave() >>> Hover(name='Hover#8')
Enter() >>> Hover(name='Hover#7')
Leave() >>> Hover(name='Hover#7')
Enter() >>> Hover(name='Hover#6')
